id,gcf,number_16s,mean,sd,min,max,total_div
37,GCF_000348765.2,2,2.0,,2.0,2.0,1.38629436111989
38,GCF_000025605.1,1,0.0,0.0,0.0,0.0,0.0
39,GCF_000512735.1,1,0.0,0.0,0.0,0.0,0.0
40,GCF_001547735.1,1,0.0,0.0,0.0,0.0,0.0
41,GCF_000021565.1,2,0.0,,0.0,0.0,0.0
42,GCF_000021545.1,2,4.0,,4.0,4.0,2.77258872223978
43,GCF_000191045.1,2,0.0,,0.0,0.0,0.0
44,GCF_000185805.1,3,2.67,1.53,1.0,4.0,2.54605667317925
45,GCF_015775515.1,2,1.0,,1.0,1.0,0.693147180559945
46,GCF_000284335.1,1,0.0,0.0,0.0,0.0,0.0
47,GCF_001886815.1,1,0.0,0.0,0.0,0.0,0.0
48,GCF_000177635.2,3,1.33,1.15,0.0,2.0,1.27302833658963
49,GCF_020520145.1,3,2.0,1.0,1.0,3.0,1.90954250488444
50,GCF_000183405.1,2,1.0,,1.0,1.0,0.693147180559945
51,GCF_000010985.1,2,1.0,,1.0,1.0,0.693147180559945
52,GCF_000218625.1,2,0.0,,0.0,0.0,0.0
53,GCF_000025725.1,2,1.0,,1.0,1.0,0.693147180559945
54,GCF_004087915.1,2,0.0,,0.0,0.0,0.0
55,GCF_000487995.2,3,0.0,0.0,0.0,0.0,0.0
56,GCF_000020965.1,2,1.0,,1.0,1.0,0.693147180559945
57,GCF_000021645.1,2,0.0,,0.0,0.0,0.0
58,GCF_000020145.1,1,0.0,0.0,0.0,0.0,0.0
59,GCF_001027545.1,1,0.0,0.0,0.0,0.0,0.0
60,GCF_003353065.1,3,0.67,0.58,0.0,1.0,0.636514168294813
61,GCF_000013045.1,1,0.0,0.0,0.0,0.0,0.0
62,GCF_003491405.1,1,0.0,0.0,0.0,0.0,0.0
63,GCF_003491185.1,1,0.0,0.0,0.0,0.0,0.0
64,GCF_003491205.1,1,0.0,0.0,0.0,0.0,0.0
65,GCF_003491385.1,1,0.0,0.0,0.0,0.0,0.0
66,GCF_000090405.2,1,0.0,0.0,0.0,0.0,0.0
67,GCF_003491425.1,1,0.0,0.0,0.0,0.0,0.0
68,GCF_003290325.1,1,0.0,0.0,0.0,0.0,0.0
69,GCF_008001035.1,2,1.0,,1.0,1.0,0.693147180559945
70,GCF_011751865.2,2,5.0,,5.0,5.0,3.46573590279973
71,GCF_003065485.1,2,0.0,,0.0,0.0,0.0
72,GCF_019443965.1,3,2.0,1.0,1.0,3.0,1.90954250488444
73,GCF_004118935.1,2,0.0,,0.0,0.0,0.0
74,GCF_011751885.2,2,0.0,,0.0,0.0,0.0
75,GCF_000024845.1,1,0.0,0.0,0.0,0.0,0.0
76,GCF_000224745.1,1,0.0,0.0,0.0,0.0,0.0
77,GCF_009936255.1,1,0.0,0.0,0.0,0.0,0.0
78,GCF_009936275.1,1,0.0,0.0,0.0,0.0,0.0
79,GCF_000724795.2,6,0.0,0.0,0.0,0.0,0.0
80,GCF_001314995.1,5,29.5,19.53,1.0,58.0,38.27647567294
81,GCF_000025985.1,6,0.0,0.0,0.0,0.0,0.0
82,GCF_001314975.1,5,4.6,3.89,0.0,9.0,6.23155364683909
83,GCF_000724815.2,6,2.87,2.1,0.0,5.0,3.35246987826946
84,GCF_000009925.1,6,2.47,1.25,0.0,4.0,3.06478780581768
85,GCF_000186225.1,5,12.0,7.5,0.0,21.0,13.9973257777581
86,GCF_000710375.2,6,8.8,5.21,0.0,13.0,11.5328446521747
87,GCF_000011065.1,5,13.8,13.75,0.0,32.0,20.4328560562544
88,GCF_000710365.2,6,4.33,3.11,0.0,10.0,5.43537688580559
89,GCF_000724665.2,6,7.93,4.48,1.0,15.0,10.139530390674
90,GCF_000724805.2,6,3.8,2.4,0.0,6.0,4.64752049260324
91,GCF_000210835.1,6,5.67,2.82,0.0,10.0,7.08627949636327
92,GCF_001286525.1,6,0.0,0.0,0.0,0.0,0.0
93,GCF_001682215.1,6,1.93,1.53,0.0,4.0,2.49539201602516
94,GCF_001318345.1,4,12.5,7.06,3.0,18.0,13.2088834314932
95,GCF_000965785.1,6,6.33,3.11,2.0,12.0,8.27403244127784
96,GCF_001688725.2,5,1.8,1.32,0.0,3.0,2.17421893762382
97,GCF_002222615.2,5,0.0,0.0,0.0,0.0,0.0
98,GCF_002849695.1,6,0.0,0.0,0.0,0.0,0.0
99,GCF_006546965.1,5,9.0,10.13,0.0,21.0,11.1814625613112
100,GCF_009734165.1,5,2.8,3.01,0.0,7.0,3.50281696476732
101,GCF_004328515.1,4,0.0,0.0,0.0,0.0,0.0
102,GCF_005706655.1,6,0.0,0.0,0.0,0.0,0.0
103,GCF_003363675.2,4,0.0,0.0,0.0,0.0,0.0
104,GCF_002998435.1,4,0.0,0.0,0.0,0.0,0.0
105,GCF_002998535.1,4,0.5,0.55,0.0,1.0,0.562335144618808
106,GCF_004115325.2,6,2.53,2.2,0.0,6.0,3.33988142149264
107,GCF_009193325.2,5,4.6,1.71,2.0,7.0,5.79911083801906
108,GCF_006742345.1,4,0.0,0.0,0.0,0.0,0.0
109,GCF_007012325.1,5,3.2,1.75,0.0,6.0,3.84803545170945
110,GCF_011038705.2,6,0.33,0.49,0.0,1.0,0.450561208866305
111,GCF_008369705.1,6,1.67,2.44,0.0,5.0,2.25280604433152
112,GCF_009193295.2,5,0.4,0.52,0.0,1.0,0.500402423538188
113,GCF_012113595.1,5,8.2,3.85,3.0,14.0,9.87028984104272
114,GCF_013267555.1,6,3.07,2.25,0.0,6.0,3.67371113997239
115,GCF_013874375.1,4,0.5,0.55,0.0,1.0,0.562335144618808
116,GCF_014131755.1,5,17.0,17.14,0.0,39.0,24.8492535462202
117,GCF_016864215.1,5,0.0,0.0,0.0,0.0,0.0
118,GCF_015679285.1,4,1.5,1.64,0.0,3.0,1.68700543385642
119,GCF_016726305.1,5,2.4,1.07,0.0,4.0,2.84723060463308
120,GCF_018289295.1,4,0.5,0.55,0.0,1.0,0.562335144618808
121,GCF_016864615.1,6,4.73,2.58,0.0,9.0,5.94257110693702
122,GCF_016889745.1,5,0.0,0.0,0.0,0.0,0.0
123,GCF_016889925.1,6,3.33,4.88,0.0,10.0,4.50561208866305
124,GCF_018289135.1,5,4.0,3.06,0.0,7.0,4.53847242559373
125,GCF_017309675.2,4,0.0,0.0,0.0,0.0,0.0
126,GCF_018289275.1,5,4.7,2.83,0.0,7.0,6.36747287627541
127,GCF_018279805.1,5,0.0,0.0,0.0,0.0,0.0
128,GCF_018291825.1,5,3.2,2.62,0.0,7.0,3.84803545170945
129,GCF_018289035.1,5,0.8,1.03,0.0,2.0,1.00080484707638
130,GCF_018289175.1,4,1.83,1.17,0.0,3.0,1.9486295057387
131,GCF_018291785.1,4,4.0,2.19,0.0,6.0,4.32878212015507
132,GCF_018289375.1,4,1.0,0.63,0.0,2.0,1.12467028923762
133,GCF_018291945.1,5,0.0,0.0,0.0,0.0,0.0
134,GCF_018292045.1,5,3.0,1.33,1.0,5.0,3.52024227164233
135,GCF_018292185.1,6,3.4,1.4,0.0,6.0,3.98898404656427
136,GCF_018292125.1,4,1.5,1.64,0.0,3.0,1.68700543385642
137,GCF_018292165.1,4,0.5,0.55,0.0,1.0,0.562335144618808
138,GCF_018292205.1,5,0.0,0.0,0.0,0.0,0.0
139,GCF_020091545.1,5,0.6,0.52,0.0,1.0,0.673011667009257
140,GCF_019930665.1,5,5.8,3.08,1.0,10.0,6.71269136321755
141,GCF_020091505.1,5,1.0,0.67,0.0,2.0,1.17341409054744
142,GCF_019857385.1,5,7.2,8.07,0.0,17.0,9.35246211062952
143,GCF_019896115.1,5,7.2,8.07,0.0,17.0,9.35246211062952
144,GCF_020091305.1,5,12.1,9.93,1.0,27.0,16.3580960401641
145,GCF_020091345.1,5,0.0,0.0,0.0,0.0,0.0
146,GCF_020091405.1,4,1.0,1.1,0.0,2.0,1.12467028923762
147,GCF_020091485.1,5,10.2,7.38,1.0,21.0,12.0619340855416
148,GCF_020091385.1,5,5.2,4.08,0.0,9.0,5.88449575961224
149,GCF_020091525.1,5,22.8,17.93,1.0,38.0,26.4026389499571
150,GCF_020091565.1,6,1.0,1.46,0.0,3.0,1.35168362659891
151,GCF_020097275.1,6,0.0,0.0,0.0,0.0,0.0
152,GCF_020550085.1,4,0.0,0.0,0.0,0.0,0.0
153,GCF_021359565.1,6,0.0,0.0,0.0,0.0,0.0
154,GCF_021359585.1,6,0.0,0.0,0.0,0.0,0.0
155,GCF_022453665.1,5,7.6,9.81,0.0,19.0,12.5100605884547
156,GCF_024759205.1,5,1.2,1.03,0.0,3.0,1.50120727061456
157,GCF_023702735.1,6,0.0,0.0,0.0,0.0,0.0
158,GCF_024758225.1,4,2.0,1.55,0.0,4.0,2.24934057847523
159,GCF_024758865.1,5,2.8,1.87,0.0,5.0,3.19244909157521
160,GCF_024759125.1,5,11.8,7.07,2.0,21.0,13.824716534287
161,GCF_024758345.1,5,3.8,2.62,0.0,7.0,4.67623105531476
162,GCF_024758405.1,5,2.4,1.35,0.0,4.0,2.84723060463308
163,GCF_024758425.1,5,0.6,0.52,0.0,1.0,0.673011667009257
164,GCF_024759405.1,5,6.0,7.75,0.0,15.0,8.50684120014919
165,GCF_024758905.1,5,4.2,3.22,0.0,7.0,4.7110816690648
166,GCF_024759225.1,5,0.6,0.52,0.0,1.0,0.673011667009257
167,GCF_024759245.1,5,1.8,1.03,0.0,3.0,2.17421893762382
168,GCF_024759365.1,5,34.0,16.0,14.0,52.0,40.9701661662562
169,GCF_024759505.1,5,0.0,0.0,0.0,0.0,0.0
170,GCF_024759765.1,5,3.4,1.17,2.0,5.0,4.02064469518052
171,GCF_024759785.1,5,3.4,1.26,1.0,5.0,4.02064469518052
172,GCF_024760085.1,4,0.0,0.0,0.0,0.0,0.0
173,GCF_024760065.1,5,7.6,9.81,0.0,19.0,10.0080484707638
174,GCF_024759965.1,5,16.0,8.87,3.0,34.0,20.3961660422197
175,GCF_024760145.1,5,0.4,0.52,0.0,1.0,0.500402423538188
176,GCF_025146565.1,4,3.5,1.64,1.0,6.0,3.93634601233166
177,GCF_024760245.1,5,10.6,12.83,0.0,26.0,15.1846819496167
178,GCF_025146315.1,5,0.4,0.52,0.0,1.0,0.500402423538188
179,GCF_024760225.1,5,0.0,0.0,0.0,0.0,0.0
180,GCF_024799845.1,5,24.4,10.42,4.0,41.0,32.8592733358979
181,GCF_025147325.1,5,2.6,1.43,0.0,4.0,3.01983984810415
182,GCF_025147085.1,5,0.4,0.52,0.0,1.0,0.500402423538188
183,GCF_025146775.1,5,26.4,20.08,0.0,56.0,34.4074339012889
184,GCF_025147485.1,4,0.5,0.55,0.0,1.0,0.562335144618808
185,GCF_025263845.1,4,1.5,1.64,0.0,3.0,1.68700543385642
186,GCF_900095495.1,5,31.7,19.64,1.0,60.0,41.4514994576402
187,GCF_918258265.1,5,3.4,1.65,1.0,6.0,3.86546075858447
188,GCF_018289355.1,7,4.62,3.02,0.0,10.0,7.11941886782787
189,GCF_024022975.1,7,1.14,1.85,0.0,4.0,2.05058159144204
190,GCF_013009555.1,7,0.0,0.0,0.0,0.0,0.0
191,GCF_020885715.1,7,0.0,0.0,0.0,0.0,0.0
192,GCF_000012825.1,7,5.43,2.34,0.0,10.0,8.15262709562154
193,GCF_001640865.1,7,0.0,0.0,0.0,0.0,0.0
194,GCF_008728395.1,7,2.95,1.28,0.0,5.0,4.34014519160144
195,GCF_000190575.1,6,14.53,10.45,0.0,26.0,24.7227232491895
196,GCF_013009675.1,7,0.0,0.0,0.0,0.0,0.0
197,GCF_013010255.1,7,0.76,0.83,0.0,2.0,1.00838590687367
198,GCF_013009875.1,7,0.0,0.0,0.0,0.0,0.0
199,GCF_013010365.1,7,0.76,0.83,0.0,2.0,1.00838590687367
200,GCF_020885775.1,7,0.0,0.0,0.0,0.0,0.0
201,GCF_013010095.1,7,0.0,0.0,0.0,0.0,0.0
202,GCF_020091465.1,6,2.13,2.03,0.0,5.0,3.54890820393513
203,GCF_018292105.1,7,0.0,0.0,0.0,0.0,0.0
204,GCF_016888945.1,7,0.0,0.0,0.0,0.0,0.0
205,GCF_020885855.1,7,0.0,0.0,0.0,0.0,0.0
206,GCF_024758205.1,7,9.1,2.98,3.0,14.0,12.3149366773562
207,GCF_024759565.1,7,3.9,2.47,0.0,7.0,5.65327538524125
208,GCF_025146415.1,7,4.62,2.69,0.0,8.0,7.15711671565407
209,GCF_902387545.1,7,34.81,39.88,0.0,104.0,53.0970738080085
210,GCF_000512915.1,5,5.5,2.17,1.0,8.0,6.64473174849939
211,GCF_015097275.1,5,0.0,0.0,0.0,0.0,0.0
212,GCF_011299335.1,4,0.5,0.55,0.0,1.0,0.562335144618808
213,GCF_011299555.1,4,1.17,0.75,0.0,2.0,1.25548232517875
214,GCF_900095795.1,2,1.0,,1.0,1.0,0.693147180559945
215,GCF_022267555.1,2,2.0,,2.0,2.0,1.38629436111989
216,GCF_900095135.1,2,0.0,,0.0,0.0,0.0
217,GCF_005304985.1,4,4.0,2.0,1.0,7.0,4.49868115695047
218,GCF_001688845.2,4,3.67,2.16,0.0,6.0,4.06715804827279
219,GCF_009676955.1,4,4.33,0.82,3.0,5.0,4.76030522883274
220,GCF_003991565.1,5,7.8,4.16,3.0,14.0,9.21470348090849
221,GCF_016889065.1,5,10.4,6.85,0.0,20.0,12.0793593924166
222,GCF_025148635.1,5,9.2,5.51,0.0,20.0,11.0437039315902
223,GCF_000190535.1,4,6.5,3.15,3.0,10.0,7.31035688004451
224,GCF_900187175.1,4,6.17,3.43,2.0,10.0,6.70893473457144
225,GCF_000183135.1,3,0.0,0.0,0.0,0.0,0.0
226,GCF_018802645.1,7,0.48,0.51,0.0,1.0,0.598269588585257
227,GCF_018802605.1,8,0.25,0.44,0.0,1.0,0.376770161256437
228,GCF_018802765.1,7,0.48,0.51,0.0,1.0,0.598269588585257
229,GCF_003931875.1,1,0.0,0.0,0.0,0.0,0.0
230,GCF_003850245.1,1,0.0,0.0,0.0,0.0,0.0
231,GCF_001974985.1,1,0.0,0.0,0.0,0.0,0.0
232,GCF_003856715.1,2,0.0,,0.0,0.0,0.0
233,GCF_001975955.2,2,0.0,,0.0,0.0,0.0
234,GCF_002993305.1,2,8.0,,8.0,8.0,5.54517744447956
235,GCF_002356155.1,2,0.0,,0.0,0.0,0.0
236,GCF_000202635.1,2,1.0,,1.0,1.0,0.693147180559945
237,GCF_001266755.1,2,0.0,,0.0,0.0,0.0
238,GCF_001314225.1,2,0.0,,0.0,0.0,0.0
239,GCF_001792815.1,3,0.0,0.0,0.0,0.0,0.0
240,GCF_001513675.1,2,0.0,,0.0,0.0,0.0
241,GCF_001652465.1,2,0.0,,0.0,0.0,0.0
242,GCF_001887285.1,2,0.0,,0.0,0.0,0.0
243,GCF_001558975.1,2,0.0,,0.0,0.0,0.0
244,GCF_002843965.1,2,20.0,,20.0,20.0,18.7149738751185
245,GCF_001889265.1,2,0.0,,0.0,0.0,0.0
246,GCF_003367705.1,2,0.0,,0.0,0.0,0.0
247,GCF_003991855.1,2,0.0,,0.0,0.0,0.0
248,GCF_004000565.1,2,0.0,,0.0,0.0,0.0
249,GCF_003991875.1,2,0.0,,0.0,0.0,0.0
250,GCF_011046975.1,2,0.0,,0.0,0.0,0.0
251,GCF_004135285.1,2,0.0,,0.0,0.0,0.0
252,GCF_011751765.2,2,0.0,,0.0,0.0,0.0
253,GCF_004564075.1,2,0.0,,0.0,0.0,0.0
254,GCF_004564355.1,2,0.0,,0.0,0.0,0.0
255,GCF_013282805.1,3,0.0,0.0,0.0,0.0,0.0
256,GCF_005347485.1,2,0.0,,0.0,0.0,0.0
257,GCF_008727755.1,2,0.0,,0.0,0.0,0.0
258,GCF_005491085.2,2,0.0,,0.0,0.0,0.0
259,GCF_011047135.1,2,0.0,,0.0,0.0,0.0
260,GCF_006385575.1,2,0.0,,0.0,0.0,0.0
261,GCF_008271365.1,2,2.0,,2.0,2.0,1.38629436111989
262,GCF_011046485.1,2,0.0,,0.0,0.0,0.0
263,GCF_008727775.1,2,0.0,,0.0,0.0,0.0
264,GCF_011751745.2,2,0.0,,0.0,0.0,0.0
265,GCF_013389665.1,2,1.0,,1.0,1.0,0.693147180559945
266,GCF_015565955.1,1,0.0,0.0,0.0,0.0,0.0
267,GCF_014171575.1,2,2.0,,2.0,2.0,1.38629436111989
268,GCF_014725695.1,2,0.0,,0.0,0.0,0.0
269,GCF_017968845.1,1,0.0,0.0,0.0,0.0,0.0
270,GCF_014725715.1,2,0.0,,0.0,0.0,0.0
271,GCF_015277815.1,2,0.0,,0.0,0.0,0.0
272,GCF_015040615.1,2,0.0,,0.0,0.0,0.0
273,GCF_015277855.1,2,0.0,,0.0,0.0,0.0
274,GCF_019056515.1,2,0.0,,0.0,0.0,0.0
275,GCF_015277895.1,2,6.0,,6.0,6.0,4.85203026391962
276,GCF_021117345.1,2,1.0,,1.0,1.0,0.693147180559945
277,GCF_015277875.1,2,2.0,,2.0,2.0,1.38629436111989
278,GCF_019443465.1,2,0.0,,0.0,0.0,0.0
279,GCF_019443525.1,2,0.0,,0.0,0.0,0.0
280,GCF_016805985.1,2,0.0,,0.0,0.0,0.0
281,GCF_016919305.1,2,0.0,,0.0,0.0,0.0
282,GCF_019464375.1,2,0.0,,0.0,0.0,0.0
283,GCF_021172025.1,2,0.0,,0.0,0.0,0.0
284,GCF_022637555.1,2,0.0,,0.0,0.0,0.0
285,GCF_021398715.1,2,0.0,,0.0,0.0,0.0
286,GCF_025583665.1,2,0.0,,0.0,0.0,0.0
287,GCF_025758395.1,1,0.0,0.0,0.0,0.0,0.0
288,GCF_024362265.1,2,0.0,,0.0,0.0,0.0
289,GCF_021582875.1,3,7.0,4.36,2.0,10.0,6.82723980332142
290,GCF_021582895.2,2,1.0,,1.0,1.0,0.693147180559945
291,GCF_024498615.1,2,0.0,,0.0,0.0,0.0
292,GCF_028198145.1,2,0.0,,0.0,0.0,0.0
293,GCF_024971095.1,2,1.0,,1.0,1.0,0.693147180559945
294,GCF_904831005.1,2,0.0,,0.0,0.0,0.0
295,GCF_904066215.1,2,2.0,,2.0,2.0,1.38629436111989
296,GCF_025836995.1,2,0.0,,0.0,0.0,0.0
297,GCF_026559675.1,2,0.0,,0.0,0.0,0.0
298,GCF_002754055.1,4,0.0,0.0,0.0,0.0,0.0
299,GCF_002754035.1,4,0.0,0.0,0.0,0.0,0.0
300,GCF_000010505.1,4,0.0,0.0,0.0,0.0,0.0
301,GCF_001314265.1,4,0.0,0.0,0.0,0.0,0.0
302,GCF_000007585.1,4,0.0,0.0,0.0,0.0,0.0
303,GCF_000212375.1,2,0.0,,0.0,0.0,0.0
304,GCF_002754015.1,4,0.0,0.0,0.0,0.0,0.0
305,GCF_001263815.1,4,0.5,0.55,0.0,1.0,0.562335144618808
306,GCF_000270225.1,4,5.5,4.59,1.0,10.0,6.18568659080689
307,GCF_001274615.1,4,0.5,0.55,0.0,1.0,0.562335144618808
308,GCF_002753975.1,4,2.17,1.17,0.0,3.0,2.38015261441637
309,GCF_002753935.1,4,0.0,0.0,0.0,0.0,0.0
310,GCF_001444325.1,4,0.0,0.0,0.0,0.0,0.0
311,GCF_002753955.1,4,1.5,0.55,1.0,2.0,1.68700543385642
312,GCF_002754075.1,4,0.0,0.0,0.0,0.0,0.0
313,GCF_002754095.1,4,0.0,0.0,0.0,0.0,0.0
314,GCF_002754115.1,4,1.5,0.55,1.0,2.0,1.68700543385642
315,GCF_002754135.1,4,5.5,1.38,3.0,7.0,6.01578755401149
316,GCF_002892555.1,4,5.5,4.59,1.0,10.0,6.18568659080689
317,GCF_002754155.1,4,0.0,0.0,0.0,0.0,0.0
318,GCF_002892595.1,4,0.0,0.0,0.0,0.0,0.0
319,GCF_022845615.1,2,0.0,,0.0,0.0,0.0
320,GCF_018127745.1,3,9.33,6.43,2.0,14.0,10.8207408610118
321,GCF_900638305.1,5,5.0,2.49,1.0,9.0,6.02225438933327
322,GCF_002892575.1,4,0.0,0.0,0.0,0.0,0.0
323,GCF_023822465.1,4,0.0,0.0,0.0,0.0,0.0
324,GCF_018141805.1,4,0.0,0.0,0.0,0.0,0.0
325,GCF_020097375.1,3,0.0,0.0,0.0,0.0,0.0
326,GCF_023822425.1,4,0.0,0.0,0.0,0.0,0.0
327,GCF_018141745.1,4,0.5,0.55,0.0,1.0,0.562335144618808
328,GCF_023822445.1,4,0.0,0.0,0.0,0.0,0.0
329,GCF_018141765.1,4,12.5,9.81,0.0,25.0,14.0583786154702
330,GCF_900476255.1,4,0.0,0.0,0.0,0.0,0.0
331,GCF_900683745.1,7,2.95,3.81,0.0,9.0,4.06735340518938
332,GCF_002763535.1,4,1.33,1.03,0.0,2.0,1.38629436111989
333,GCF_002763575.1,4,0.0,0.0,0.0,0.0,0.0
334,GCF_001548195.1,4,0.0,0.0,0.0,0.0,0.0
335,GCF_000025925.1,4,7.5,4.23,1.0,14.0,10.1220326031385
336,GCF_002763785.1,4,3.5,1.64,2.0,5.0,4.49868115695047
337,GCF_000144405.1,4,0.67,0.52,0.0,1.0,0.693147180559945
338,GCF_000242335.1,5,0.0,0.0,0.0,0.0,0.0
339,GCF_000261025.1,4,0.0,0.0,0.0,0.0,0.0
340,GCF_000193395.1,4,1.83,1.17,0.0,3.0,1.9486295057387
341,GCF_000163055.2,4,1.5,1.64,0.0,3.0,1.68700543385642
342,GCF_001262015.1,4,3.83,2.32,1.0,7.0,4.19797008421393
343,GCF_001444445.1,3,0.0,0.0,0.0,0.0,0.0
344,GCF_001953935.1,4,0.0,0.0,0.0,0.0,0.0
345,GCF_002208725.2,4,0.67,0.52,0.0,1.0,0.693147180559945
346,GCF_001953955.1,4,7.5,4.93,0.0,13.0,8.78837627625128
347,GCF_002355195.1,4,1.83,0.75,1.0,3.0,1.9486295057387
348,GCF_002763715.1,4,0.5,0.55,0.0,1.0,0.562335144618808
349,GCF_002763745.1,4,0.0,0.0,0.0,0.0,0.0
350,GCF_002763845.1,4,0.5,0.55,0.0,1.0,0.562335144618808
351,GCF_002763955.1,4,6.33,3.83,0.0,12.0,7.78774250626562
352,GCF_018127785.1,4,0.0,0.0,0.0,0.0,0.0
353,GCF_013267595.1,4,0.5,0.55,0.0,1.0,1.12467028923762
354,GCF_018127765.1,4,10.17,7.11,0.0,17.0,11.4233774458607
355,GCF_018127845.1,4,1.67,1.21,0.0,3.0,1.81781746979756
356,GCF_002763975.1,4,0.5,0.55,0.0,1.0,0.562335144618808
357,GCF_003265025.1,4,3.17,2.14,0.0,5.0,3.50482290365399
358,GCF_003515045.1,4,4.67,3.61,0.0,7.0,4.85203026391962
359,GCF_002849795.1,4,6.0,1.26,4.0,7.0,6.79388425296914
360,GCF_003609775.1,4,5.17,2.48,2.0,8.0,5.58426444533382
361,GCF_017347605.1,5,0.0,0.0,0.0,0.0,0.0
362,GCF_018127825.1,4,2.83,1.47,1.0,5.0,3.28906134931515
363,GCF_018127905.1,4,2.17,1.17,0.0,3.0,2.38015261441637
364,GCF_018127805.1,4,1.5,1.64,0.0,3.0,1.68700543385642
365,GCF_018127865.1,4,1.0,0.63,0.0,2.0,1.12467028923762
366,GCF_018127885.1,4,2.17,1.17,0.0,3.0,2.38015261441637
367,GCF_018127925.1,4,2.83,1.47,0.0,4.0,3.07329979497632
368,GCF_018127945.1,4,2.67,2.07,0.0,4.0,2.77258872223978
369,GCF_018127965.1,4,0.67,0.52,0.0,1.0,0.693147180559945
370,GCF_018127985.1,4,11.33,8.04,0.0,17.0,12.6924108044179
371,GCF_020735445.1,6,16.47,6.13,7.0,28.0,20.3963625287035
372,GCF_018128005.1,4,0.0,0.0,0.0,0.0,0.0
373,GCF_019930605.1,4,5.0,1.67,2.0,6.0,5.45345240939269
374,GCF_018128165.1,4,1.83,1.17,0.0,3.0,1.9486295057387
375,GCF_019551475.1,3,0.0,0.0,0.0,0.0,0.0
376,GCF_018128145.1,4,3.5,3.15,0.0,7.0,3.93634601233166
377,GCF_018128185.1,4,5.33,4.13,0.0,8.0,5.54517744447956
378,GCF_018128085.1,4,2.67,2.25,0.0,5.0,2.94248775903518
379,GCF_018128045.1,4,1.5,1.05,0.0,3.0,1.68700543385642
380,GCF_018128125.1,4,0.0,0.0,0.0,0.0,0.0
381,GCF_018128065.1,4,7.33,4.03,0.0,11.0,8.22604113163247
382,GCF_018128105.1,4,6.83,2.48,3.0,10.0,7.57198095192678
383,GCF_018128205.1,4,10.17,6.05,0.0,15.0,11.4692399634042
384,GCF_018389405.1,4,14.0,6.0,4.0,21.0,17.1843164446791
385,GCF_020735565.1,3,4.0,3.46,0.0,6.0,3.81908500976888
386,GCF_020735785.1,4,0.67,0.52,0.0,1.0,0.693147180559945
387,GCF_022024055.1,4,7.0,4.77,0.0,11.0,8.05614209483707
388,GCF_022024035.1,4,9.5,3.39,5.0,14.0,10.6843677477574
389,GCF_020735905.1,4,0.5,0.55,0.0,1.0,0.562335144618808
390,GCF_022024015.1,4,1.83,0.75,1.0,3.0,1.9486295057387
391,GCF_022024075.1,4,13.5,5.54,6.0,23.0,16.0528706387523
392,GCF_023204875.1,4,3.0,1.9,1.0,5.0,3.37401086771285
393,GCF_022024095.1,4,12.0,5.18,6.0,17.0,14.5816267592348
